업체명,사업장구분,소재지도로명주소,소재지지번주소,위도,경도,차고지도로명주소,차고지지번주소,보유차고지수용능력,자동차총보유대수,승용차보유대수,승합차보유대수,전기승용자동차보유대수,전기승합자동차보유대수,경차요금,소형차요금,중형차요금,대형차요금,승합차요금,레저용차요금,수입차요금,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일,홈페이지주소,대표자명,전화번호,데이터기준일자,제공기관코드,제공기관명
롯데렌탈㈜,영업소,강원도 강릉시 원대로 6 (교동),강원도 강릉시 교동 1744-2,37.75516069,128.8819094,강원도 강릉시 지변동 609,,,221,210,11,0,0,,,,,,,,09:00,18:00,,,,,,,,033-642-8000,2022-12-09,4200000,강원도 강릉시
㈜금강렌트카,영업소,"강원도 강릉시 옥가로 66, 1층 (옥천동)",강원도 강릉시 옥천동 319-1,37.762141,128.900639,강원도 강릉시 동해대로3456번길 22-12,,,27,26,1,0,0,,,,,,,,08:30,20:00,,,,,,,,033-642-4417,2022-12-09,4200000,강원도 강릉시
㈜동양렌트카,영업소,강원도 강릉시 주문진읍 신리천로 46,강원도 강릉시 주문진읍 교항리 139-6,37.88403003,128.8258259,강원도 강릉시 연곡면 연주로 176-6,,,7,7,0,0,0,,,,,,,,09:00,23:59,,,,,,,,033-661-4505,2022-12-09,4200000,강원도 강릉시
㈜동양렌트카,영업소,강원도 강릉시 옥계면 동해대로 301,강원도 강릉시 옥계면 주수리 202,37.61721178,129.0489565,강원도 강릉시 옥계면 동해대로 301,,,3,3,0,0,0,,,,,,,,09:00,23:59,,,,,,,,033-534-1050,2022-12-09,4200000,강원도 강릉시
㈜동양렌트카,영업소,강원도 강릉시 두산길 19-5,,37.76424437,128.924902,강원도 강릉시 두산길 19-5(두산동),,,6,6,0,0,0,,,,,,,,09:00,23:59,,,,,,,,033-641-9994,2022-12-09,4200000,강원도 강릉시
㈜동양렌트카,영업소,강원도 강릉시 하슬라로 38 (홍제동),강원도 강릉시 홍제동 989-1,37.755254,128.877611,강원도 강릉시 하슬라로 38(홍제동),,,11,11,0,0,0,,,,,,,,09:00,23:59,,,,,,,,033-641-8585,2022-12-09,4200000,강원도 강릉시
㈜현대관광렌트카,영업소,강원도 강릉시 두산길 19-15,강원도 강릉시 두산동 273,37.76502886,128.9243753,강원도 강릉시 강변로 670번길13(두산동),,,16,16,0,0,0,,,,,,,,09:00,23:59,,,,,,,,033-655-0053,2022-12-09,4200000,강원도 강릉시
㈜현대관광렌트카,영업소,"강원도 강릉시 하슬라로 18, 1층 110호(홍제동)","강원도 강릉시 홍제동 991, 1층 110호",37.75515453,128.8799999,강원도 강릉시 입암동 429,,,16,16,0,0,0,,,,,,,,09:00,23:59,,,,,,,,033-655-0053,2022-12-09,4200000,강원도 강릉시
㈜현대관광렌트카,영업소,강원도 강릉시 하슬라로 30(홍제동),강원도 강릉시 홍제동 1000-1,37.755236,128.878523,강원도 강릉시 교동 1734-6,,,12,11,1,0,0,,,,,,,,09:00,20:00,,,,,,,,033-646-5588,2022-12-09,4200000,강원도 강릉시
㈜현대관광렌트카,영업소,강원도 강릉시 임영로 172,강원도 강릉시 홍제동 991,37.7565194,128.8917167,강원도 강릉시 임영로 172,,,8,8,0,0,0,,,,,,,,09:00,20:00,,,,,,,,033-646-5588,2022-12-09,4200000,강원도 강릉시
비마이카(주),주사업장,"서울특별시 광진구 아차산로 355, 305호-307호 (자양동, 타워더모스트광진아크로텔)",,37.53736761,127.0825655,서울특별시 서초구 바우뫼로 37길 18,,,23,23,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),주사업장,"서울특별시 광진구 아차산로 355, 305호-307호 (자양동, 타워더모스트광진아크로텔)",,37.53736761,127.0825655,"서울특별시 양천구 은행정로 42(신정4동, 신서공영주차장)",,,51,51,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),영업소,"서울특별시 광진구 아차산로 345, 래미안프리미어팰리스 1층 119호",,37.53750524,127.081583,서울특별시 영등포구 국제금융로2길 37(에스트레뉴 주차장),,,26,26,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),영업소,"서울특별시 광진구 아차산로 345, 래미안프리미어팰리스 1층 119호",,37.53750524,127.081583,,"서울특별시 양천구 신월동 21-1(신월동,신월공영주차장)",,12,12,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),영업소,"서울특별시 광진구 광나루로 416, 지층 지오빌딩 지하 일부",,37.54646346,127.0755816,,서울특별시 강동구 성내동 199-10 지에스파크24(주) 지에스타임즈 강동웨딩 KDW본관,,0,0,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
(주)솔렌터카,주사업장,"서울특별시 광진구 아차산로 355,207호 (타워더모스트 광진아크로텔)",,37.53736761,127.0825655,,서울특별시 양천구 신월동 21-1,,3,3,0,0,0,,,,,,,,00:00,23:59,,,,,,,,1599-1940,2022-08-11,3040000,서울특별시 광진구
(주)솔렌터카,주사업장,"서울특별시 광진구 아차산로 355,207호 (타워더모스트 광진아크로텔)",,37.53736761,127.0825655,,서울특별시 성동구 행당동 293-11,,5,5,0,0,0,,,,,,,,00:00,23:59,,,,,,,,1599-1940,2022-08-11,3040000,서울특별시 광진구
(주)중부렌트카(북부),영업소,충청북도 청주시 흥덕구 1순환로 394,,36.65587081,127.4716885,,충청북도 청주시 흥덕구 신봉동 35-5,,8,7,1,0,0,,,,,,,,09:00,20:00,,,,,,,김원길,043-236-5675,2022-11-28,5710000,충청북도 청주시
(주)솔렌터카,주사업장,"서울특별시 광진구 아차산로 355,207호 (타워더모스트 광진아크로텔)",,37.53736761,127.0825655,서울특별시 성북구 오패산로10길 30 (하월곡 영광프라자 주차장),,,8,8,0,0,0,,,,,,,,00:00,23:59,,,,,,,,1599-1940,2022-08-11,3040000,서울특별시 광진구
(주)조렌트카,주사업장,서울특별시 광진구 천호대로136길 7 (구의동),,37.54890187,127.0916858,서울특별시 강서구 마곡서로 157,,,99,99,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-458-9314,2022-08-11,3040000,서울특별시 광진구
(주)에스케이알렌터카서비스,주사업장,"서울특별시 광진구 천호대로 499, 1층 (중곡동)",,37.55953242,127.0744719,서울특별시 동대문구 청계천로525,,,0,0,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-444-4222,2022-08-11,3040000,서울특별시 광진구
(주)에스케이알렌터카서비스,주사업장,"서울특별시 광진구 천호대로 499, 1층 (중곡동)",,37.55953242,127.0744719,,서울특별시 서초구 양재동 215,,50,37,13,0,0,,,,,,,,00:00,23:59,,,,,,,,02-444-4222,2022-08-11,3040000,서울특별시 광진구
(주)리더스렌트카,주사업장,"서울특별시 광진구 구의강변로106, 208호(구의동)",,37.53985699,127.0948966,,서울특별시 종로구 연건동 128-8 홍익대학교 대학로 캠퍼스 주차장,,105,105,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-438-3333,2022-08-11,3040000,서울특별시 광진구
(주)도윤렌트카,주사업장,"서울특별시 광진구 아차산로 226, 7층 (자양동)",,37.54033766,127.0684816,서울특별시 양천구 신정로 1315,,,26,24,2,0,0,,,,,,,,00:00,23:59,,,,,,,,02-467-2120,2022-08-11,3040000,서울특별시 광진구
(주)도윤렌트카,주사업장,"서울특별시 광진구 아차산로 226, 8층 (자양동)",,37.54033766,127.0684816,서울특별시 양천구 신정로 167,,,18,18,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-467-2120,2022-08-11,3040000,서울특별시 광진구
우리렌트카㈜,주사업장,인천광역시 계양구 안남로 491,인천광역시 계양구 효성동 320-12,37.52695934,126.7106763,,인천광역시 서구 가좌동 556-30,,54,48,6,0,0,,,,,,,,09:00,18:00,,,,,,,김의겸,032-426-9500,2022-07-14,3550000,인천광역시 계양구
㈜뉴금강산렌트카,주사업장,인천광역시 계양구 벌말로 572,인천광역시 계양구 상야동 10-4,37.5792851,126.779504,인천광역시 연수구 테크노파크로 164,인천광역시 연수구 송도동 24-5,,79,72,7,0,0,,,,,,,,09:00,18:00,,,,,,,최운주,032-547-8777,2022-07-14,3550000,인천광역시 계양구
뉴새한렌트카,주사업장,"경상남도 창원시 성산구 상남로 37, 덕산베스트텔 1231호 (상남동)",경상남도 창원시 성산구 상남동 69-1,35.21804376,128.6774077,"경상남도 창원시 성산구 상남로 37, 덕산베스트텔 1231호 (상남동)",경상남도 창원시 마산합포구 진북면 대티리 515-1,,322,303,3,0,0,,,,,,,,09:00,18:00,,,,,,,조영근,055-264-0047,2022-11-25,5670000,경상남도 창원시
성산렌트카,주사업장,"경상남도 창원시 성산구 외동반림로 120, 1층",경상남도 창원시 성산구 중앙동23-3,35.2297487,128.6715923,"경상남도 창원시 성산구 상남로 71, 창원코아상가(상남동)",경상남도 창원시 성산구 내동 452-13,,52,51,1,0,0,,,,,,,,09:00,18:00,,,,,,,안병익,055-275-1444,2022-11-25,5670000,경상남도 창원시
세종통운,주사업장,"경상남도 창원시 성산구 중앙대로 49, 서광오피스텔 402호",경상남도 창원시 성산구 중앙동 100-4,35.2201293,128.6759424,"경상남도 창원시 성산구 마디미로38번길 11 (상남동,네스트빌딩)",경상남도 창원시 성산구 상남동 25 Nest빌딩,,8,8,0,0,0,,,,,,,,09:00,18:00,,,,,,,강점자,055-282-3035,2022-11-25,5670000,경상남도 창원시
제로렌트카,주사업장,"경상남도 창원시 성산구 창원천로 292, 1-1호",경상남도 창원시 성산구 반지동 23,35.24497351,128.6698901,"경상남도 창원시 성산구 창원천로 292, 1-1호",경상남도 창원시 성산구 상남동 93-1,,54,45,9,0,0,,,,,,,,09:00,18:00,,,,,,,방윤희,055-238-4084,2022-11-25,5670000,경상남도 창원시
케이에스렌트카,주사업장,"경상남도 창원시 성산구 상남로 37,덕산베스트텔 313호",경상남도 창원시 성산구 상남동 69-1,35.21804376,128.6774077,"경상남도 창원시 성산구 상남로 37,덕산베스트텔 313호","경상남도 창원시 성산구 상남동 77-2,3",,248,230,18,0,0,,,,,,,,09:00,18:00,,,,,,,최영화,055-267-4677,2022-11-25,5670000,경상남도 창원시
씨티렌터카,주사업장,"경상남도 창원시 성산구 정동로162번길 26, 2층(남산동)",경상남도 창원시 성산구 남산동 601-36,35.20317615,128.6935302,"경상남도 창원시 성산구 정동로162번길 26, 2층(남산동)","경상남도 창원시 의창구 대산면 제동리 617, 617-5",,15,15,0,0,0,,,,,,,,09:00,18:00,,,,,,,이재민,055-285-1992,2022-11-25,5670000,경상남도 창원시
유성렌트카,주사업장,"경상남도 창원시 성산구 연덕로 184번길 28,공단상가3동2층30호(내동)",경상남도 창원시 성산구 내동 456-12,35.21755589,128.668543,경상남도 창원시 성산구 마디미로73번길 25,경상남도 창원시 성산구 상남동 35-6 신우주차빌딩,,64,61,3,0,0,,,,,,,,09:00,18:00,,,,,,,신미경,070-4210-3546,2022-11-25,5670000,경상남도 창원시
㈜부경알엔티,주사업장,"경상남도 창원시 성산구 연덕로184번길 28, 2층 27호(내동, 공단쇼핑상가)",경상남도 창원시 성산구 내동 456-12,35.21755589,128.668543,경상남도 창원시 의창구 신월로 42,경상남도 창원시 신월동 68-1,,61,59,2,0,0,,,,,,,,09:00,18:00,,,,,,,신미경,070-4210-3546,2022-11-25,5670000,경상남도 창원시
㈜잇다,주사업장,경상남도 창원시 성산구 신월로42,경상남도 창원시 성산구 신월동 68-1,35.217554,128.668543,경상남도 함안군 법수면 대송로305,경상남도 함안군 법수면 대송리113,,97,92,5,0,0,,,,,,,,09:00,18:00,,,,,,,신의기,055-253-9301,2022-11-25,5670000,경상남도 창원시
창신렌트카,주사업장,"경상남도 창원시 성산구 상남로 37, 덕산베스트텔 110호 (상남동)",경상남도 창원시 성산구 상남동 69-1,35.21804376,128.6774077,"경상남도 김해시 율하3로 10(율하동) 2층, 3층",경상남도 김해시 율하동 1345,,154,153,1,0,0,,,,,,,,09:00,18:00,,,,,,,계정대,055-267-4877,2022-11-25,5670000,경상남도 창원시
㈜하이렌터카,주사업장,경상남도 창원시 성산구 신월로 42,경상남도 창원시 성산구 신월동 68-1,35.228067,128.691931,경상남도 창원시 마산합포구 합포로 141 (산호동),경상남도 창원시 마산합포구 산호동 408-3,,83,82,1,0,0,,,,,,,,09:00,18:00,,,,,,,조명래,055-603-0005,2022-11-25,5670000,경상남도 창원시
㈜경남렌터카,주사업장,경상남도 창원시 성산구 중앙대로210번길 3,경상남도 창원시 성산구 신월동 100-5,35.231534,128.687491,"경상남도 창원시 성산구 중앙대로210번길 3, 가동(신월동)",경상남도 창원시 의창구 대산면 제동리 617,,95,80,15,0,0,,,,,,,,09:00,18:00,,,,,,,박현오,055-210-6116,2022-11-25,5670000,경상남도 창원시
㈜엔젤렌트카,주사업장,"경상남도 창원시 마산합포구 오동동10길 56, 305호(오동동)",경상남도 창원시 마산합포구 오동동 17-135,35.20623629,128.5817558,경상남도 창원시 마산합포구 오동동10길 56(오동동) 외,경상남도 창원시 마산합포구 오동동 17-135번지 지하주차장 외,,87,85,2,0,0,,,,,,,,09:00,18:00,,,,,,,이성수,055-245-1114,2022-11-25,5670000,경상남도 창원시
㈜동아렌트카,주사업장,"경상남도 창원시 마산합포구 허당로 84, 2층 225호(산호동, 가야빌딩)",경상남도 창원시 마산합포구 산호동 323-2,35.21049721,128.5848315,"경상남도 창원시 마산합포구 허당로 84, 가야빌딩(산호동) 외",경상남도 창원시 마산합포구 산호동 323-2번지 가야빌딩 외,,136,127,9,0,0,,,,,,,,09:00,18:00,,,,,,,강상면,055-244-8200,2022-11-25,5670000,경상남도 창원시
제로알엔티㈜,주사업장,"경상남도 창원시 마산합포구 북성로 2, 2층(중성동, 종근당미보약국)",경상남도 창원시 마산합포구 중성동 36-3,35.20787278,128.5738157,경상남도 창녕군 고암면 월미상월길 6 외,경상남도 창녕군 고암면 우천리 999번지,,97,90,7,0,0,,,,,,,,09:00,18:00,,,,,,,김종운,055-248-1122,2022-11-25,5670000,경상남도 창원시
경남기업렌트카㈜,주사업장,경상남도 창원시 마산회원구 내서읍 광려천남로 1-46,경상남도 창원시 마산회원구 내서읍 중리 1116-12,35.250008,128.5160841,경상남도 창원시 마산합포구 호산정달로 91 외,경상남도 창원시 마산합포구 진전면 오서리 49 외,,62,59,3,0,0,,,,,,,,09:00,18:00,,,,,,,문상철,055-232-7667,2022-11-25,5670000,경상남도 창원시
골드렌트카㈜,주사업장,"경상남도 창원시 마산회원구 봉양로 88, A동 210호",경상남도 창원시 마산회원구 봉암동 469-6,35.21994095,128.5966276,경상남도 창원시 마산합포구 진전면 남해안대로 4486-37 외,경상남도 창원시 마산합포구 진전면 오서리 659-7 외,,158,145,13,0,0,,,,,,,,09:00,18:00,,,,,,,이창근,055-264-1552,2022-11-25,5670000,경상남도 창원시
세븐렌트카㈜,주사업장,경상남도 창원시 마산회원구 양덕로 11,경상남도 창원시 마산회원구 양덕동 174-5,35.2218114,128.5924873,경상남도 창원시 마산회원구 양덕로 11 외,경상남도 창원시 마산회원구 양덕동 174-5 외,,136,132,4,0,0,,,,,,,,09:00,18:00,,,,,,,정원길,055-251-8844,2022-11-25,5670000,경상남도 창원시
스마트렌트카㈜,주사업장,경상남도 창원시 마산회원구 구암남3길 3,경상남도 창원시 마산회원구 구암동 78-8,35.24649651,128.5916016,경상남도 창년군 대지면 도양새우등길 51-13,경상남도 창녕군 대지면 효정리 786,,65,62,3,0,0,,,,,,,,09:00,18:00,,,,,,,김인태,055-251-9998,2022-11-25,5670000,경상남도 창원시
(주)굿모닝 렌터카,주사업장,충청북도 청주시 상당구 단재로 157,,36.61565323,127.5001128,,충청북도 청주시 청원구 내수읍 구성리 445-4,,121,113,8,0,0,,,,,,,,09:00,20:00,,,,,,,안광희,043-298-8600,2022-11-28,5710000,충청북도 청주시
(주)굿모닝 렌터카(청주),영업소,충청북도 청주시 흥덕구 풍년로206번길 24-2,,36.6307466,127.4310245,,충청북도 청주시 서원구 사직동 649-50,,8,5,3,0,0,,,,,,,,09:00,20:00,,,,,,,안광희,043-298-8600,2022-11-28,5710000,충청북도 청주시
엠제이렌트카㈜,주사업장,충청북도 청주시 상당구 무심동로 78-1,,36.61302659,127.4977068,,충청북도 청주시 상당구 산성동 256-1,,72,66,6,0,0,,,,,,,,09:00,20:00,,,,,,,임운묵,043-286-6900,2022-11-28,5710000,충청북도 청주시
엠제이렌트카㈜(프로미),영업소,충청북도 청주시 흥덕구 월명로75번길 10,,36.64163287,127.4531261,,충청북도 청주시 흥덕구 월명로75번길 10,,19,18,1,0,0,,,,,,,,09:00,20:00,,,,,,,임운묵,043-286-6900,2022-11-28,5710000,충청북도 청주시
엠제이렌트카㈜(모든),영업소,충청북도 청주시 서원구 구룡산로 263,,36.61744327,127.4737281,,충청북도 청주시 서원구 구룡산로 263,,8,7,1,0,0,,,,,,,,09:00,20:00,,,,,,,임운묵,043-286-6900,2022-11-28,5710000,충청북도 청주시
엠제이렌트카㈜(청주),영업소,충청북도 청주시 청원구 주성로 50,,36.66668545,127.4735584,,충청북도 청주시 상당구 용암동 2917,,24,24,0,0,0,,,,,,,,09:00,20:00,,,,,,,임운묵,043-286-6900,2022-11-28,5710000,충청북도 청주시
엠제이렌트카㈜(우리),영업소,충청북도 청주시 서원구 호국로 56,,36.6331174,127.475526,,충청북도 청주시 청원구 내수읍 도원리 245,,14,13,1,0,0,,,,,,,,09:00,20:00,,,,,,,임운묵,043-286-6900,2022-11-28,5710000,충청북도 청주시
㈜삼성렌트카,주사업장,충청북도 청주시 서원구 2순환로 1460-11,,36.60815081,127.4438836,,충청북도 청주시 서원구 성화동 225-5,,151,146,5,0,0,,,,,,,,09:00,20:00,,,,,,,백종덕,043-237-8281,2022-11-28,5710000,충청북도 청주시
㈜삼성렌트카(남청주),영업소,,"충청북도 청주시 서원구 미평동 250, 103호",36.60005783,127.466965,,충청북도 청주시 서원구 미평동 250,,24,23,1,0,0,,,,,,,,09:00,20:00,,,,,,,백종덕,043-237-8281,2022-11-28,5710000,충청북도 청주시
㈜삼성렌트카(남청주),영업소,,충청북도 청주시 서원구 장성동 49-1,36.59729058,127.4812471,,충청북도 청주시 서원구 장성동 49-1,,42,42,0,0,0,,,,,,,,09:00,20:00,,,,,,,백종덕,043-237-8281,2022-11-28,5710000,충청북도 청주시
(합)오토렌트카,주사업장,충청북도 청주시 서원구 사직대로112번길 3,,36.6346218,127.4596225,,충청북도 청주시 서원구 사창동 153-10,,15,13,2,0,0,,,,,,,,09:00,20:00,,,,,,,이기호,043-266-4848,2022-11-28,5710000,충청북도 청주시
팔도렌트카,주사업장,인천광역시 미추홀구 낙섬서로49번길 30-9,인천광역시 미추홀구 용현동 628-47,37.45472084,126.6348235,인천광역시 미추홀구 낙섬서로49번길 30-9 외 1곳,,,94,92,2,0,0,,,,,,,,08:30,20:00,,,,,,,,032-888-5595,2023-01-18,3510500,인천광역시 미추홀구
팔도렌트카,영업소,인천광역시 미추홀구 주승로17번길 5,인천광역시 미추홀구 주안동 866-42,37.44402604,126.6722293,"인천광역시 서구 중봉대로 612번길 10-17,7층(청라타워돔)",,,11,11,0,0,0,,,,,,,,08:30,20:00,,,,,,,,032-888-5595,2023-01-18,3510500,인천광역시 미추홀구
이렌트카,주사업장,인천광역시 미추홀구 경인로 460,인천광역시 미추홀구 주안동 1586-2,37.45805295,126.6915382,인천광역시 미추홀구 연수구 테크노파크로 164,,,49,48,1,0,0,,,,,,,,09:00,21:00,,,,,,,,032-425-3366,2023-01-18,3510500,인천광역시 미추홀구
신현대렌트카,주사업장,인천광역시 미추홀구 한나루로489번길 26,인천광역시 미추홀구 용현동 11-16,37.45100211,126.6657952,인천광역시 연수구 테크노파크로 164,,,54,54,0,0,0,,,,,,,,09:00,18:00,,,,,,,,032-572-2288,2023-01-18,3510500,인천광역시 미추홀구
경인렌트카,영업소,인천광역시 미추홀구 매소홀로 473,인천광역시 미추홀구 학익동 52-5,37.43975876,126.6748414,인천광역시 연수구 테크노파크로 164,,,14,14,0,0,0,,,,,,,,09:00,18:00,,,,,,,,032-525-4444,2023-01-18,3510500,인천광역시 미추홀구
경인렌트카,영업소,인천광역시 미추홀구 학익소로37번길 31,인천광역시 미추홀구 주안동 866-16,37.44468848,126.6720104,인천광역시 연수구 테크노파크로 164,,,10,10,0,0,0,,,,,,,,09:00,18:00,,,,,,,,032-525-4444,2023-01-18,3510500,인천광역시 미추홀구
가나다렌트카,영업소,인천광역시 미추홀구 경원대로752번길 19,인천광역시 미추홀구 주안동 1563-9,37.4501474,126.6909885,인천광역시 연수구 테크노파크로 164,,,14,12,2,0,0,,,,,,,,09:00,19:00,,,,,,,,032-822-2311,2023-01-18,3510500,인천광역시 미추홀구
가나다렌트카,영업소,인천광역시 미추홀구 소성로228번길 11,인천광역시 미추홀구 학익동 671-1,37.43877707,126.6730652,인천광역시 연수구 테크노파크로 164,,,4,4,0,0,0,,,,,,,,09:00,18:00,,,,,,,,032-822-2311,2023-01-18,3510500,인천광역시 미추홀구
에이스랜트㈜,영업소,인천광역시 미추홀구 미추홀대로626번길 26,인천광역시 미추홀구 주안동 1473-2,37.45301391,126.6813985,인천광역시 서구 중봉대로612번길 10-17,,,8,8,0,0,0,,,,,,,,09:00,18:00,,,,,,,,032-573-0666,2023-01-18,3510500,인천광역시 미추홀구
인천모빌리티사업협동조합,주사업장,인천광역시 미추홀구 경인로 460,인천광역시 미추홀구 주안동 1586-1,37.45805294,126.6915382,인천광역시 강화군 강화읍 충렬사로 138,,,53,48,5,0,0,,,,,,,,09:00,21:00,,,,,,,,032-719-3997,2023-01-18,3510500,인천광역시 미추홀구
㈜차렌터카,영업소,인천광역시 미추홀구 주안로213번길 10,인천광역시 미추홀구 주안동 49-4,37.46394744,126.6937605,인천광역시 서구 중봉대로612번길 10-17,,,8,8,0,0,0,,,,,,,,09:00,19:00,,,,,,,,0507-1352-550,2023-01-18,3510500,인천광역시 미추홀구
마춤카㈜,영업소,인천광역시 미추홀구 염전로 381,인천광역시 미추홀구 주안동 1412-54,37.47001175,126.682656,,인천광역시 남동구 구월동 1142-6,,26,26,0,0,0,,,,,,,,09:00,18:00,,,,,,,,1544-9907,2023-01-18,3510500,인천광역시 미추홀구
비마이카(주),주사업장,"서울특별시 광진구 아차산로 355, 305호-307호 (자양동, 타워더모스트광진아크로텔)",,37.53736761,127.0825655,서울특별시 영등포구 국제금융로 2길37 에스트레뉴주차장,,,101,101,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),주사업장,"서울특별시 광진구 아차산로 355, 305호-307호 (자양동, 타워더모스트광진아크로텔)",,37.53736761,127.0825655,,서울특별시 강서구 방화동 829-1,,50,49,1,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),주사업장,"서울특별시 광진구 아차산로 355, 305호-307호 (자양동, 타워더모스트광진아크로텔)",,37.53736761,127.0825655,,서울특별시 서초구 양재동 215 하이브랜드 주차장,,51,51,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),주사업장,"서울특별시 광진구 아차산로 355, 305호-307호 (자양동, 타워더모스트광진아크로텔)",,37.53736761,127.0825655,,서울특별시 양천구 신정동 1315 주식회사 서부티엔디,,55,55,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),주사업장,"서울특별시 광진구 아차산로 355, 305호-307호 (자양동, 타워더모스트광진아크로텔)",,37.53736761,127.0825655,,서울특별시 양천구 신정동 1315 주식회사 서부티엔디,,68,68,0,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
비마이카(주),주사업장,"서울특별시 광진구 아차산로 355, 305호-307호 (자양동, 타워더모스트광진아크로텔)",,37.53736761,127.0825655,"서울특별시 강서구 마곡중앙6로 16(마곡동, 마곡지엠지타워)",,,48,46,2,0,0,,,,,,,,00:00,23:59,,,,,,,,02-557-8752,2022-08-11,3040000,서울특별시 광진구
